Evacuation.ID,FIRE_NAME,INC_NUM,start_day,evac_date_issue,Date of Release,county,GIS_ACRES,Sources,evacuation.order.type,Evacuated Region,,GEOIDS,,
,Lakeville Fire,Not Found ,6/5/20 16:56,X,,Sonoma,141,No Evacuations,,,,,,
,Gulch Fire,Not Found ,6/6/20 16:19,X,,Sonoma,107,No Evacuations,,,,,,
,Kincade Fire,19376,10/23/19 21:27,Multiple ,,Sonoma,77758,https://socoemergency.org/recover/2019-kincade-fire/kincade-fire-evacuation-orders/,Mandatory/warning,Has Maps of each Evacuation https://socoemergency.org/wp-content/uploads/2019/11/Sonoma-County-2019-Kincade-Fire-CalFIRE-Evacuation-Order-Matrix-and-Maps.pdf,,,,
26,Kincade Fire,19376,10/23/19 21:27,10/23/19 23:34,,Sonoma,77758,https://socoemergency.org/recover/2019-kincade-fire/kincade-fire-evacuation-orders/,Mandatory,Community of Geyserville,,"06097154100,",,
27,Kincade Fire,19376,10/23/19 21:27,10/26/19 10:00,,Sonoma,77758,https://socoemergency.org/recover/2019-kincade-fire/kincade-fire-evacuation-orders/,Mandatory,"Zones: 1, 2, 3",,"06097154100, 06097153807, 06097153901, 06097153903, 06097153804, 06097153806, 06097153809, 06097153808",,
28,Kincade Fire,19376,10/23/19 21:27,10/26/19 10:00,,Sonoma,77758,https://socoemergency.org/recover/2019-kincade-fire/kincade-fire-evacuation-orders/,Warning,"Zones: 4, 5",,"06097154100, 06097154000, 06097153705, 06097153801, 06097153808, 06097153809, 06097153807",,
29,Kincade Fire,19376,10/23/19 21:27,10/26/19 18:30,,Sonoma,77758,https://socoemergency.org/recover/2019-kincade-fire/kincade-fire-evacuation-orders/,Mandatory,"Zones: 1, 2, 3, 4, 5, 7",,"06097154100, 06097153807, 06097153901, 06097153903, 06097153804, 06097153806, 06097153809, 06097153808,  06097154000, 06097153705, 06097153801, 06097153704, 06097153706, 06097153703, 06097154304, 06097154302, 06097153600, ",,
30,Kincade Fire,19376,10/23/19 21:27,10/26/19 18:30,,Sonoma,77758,https://socoemergency.org/recover/2019-kincade-fire/kincade-fire-evacuation-orders/,Warning,"Zones: 6, 8",,"06097153300, 06097153403, 06097153501, 06097153404",,
31,Kincade Fire,19376,10/23/19 21:27,10/27/19 4:30,,Sonoma,77758,https://socoemergency.org/recover/2019-kincade-fire/kincade-fire-evacuation-orders/,Mandatory,"Zones: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10",,"06097154100, 06097153807, 06097153901, 06097153903, 06097153804, 06097153806, 06097153809, 06097153808,  06097154000, 06097153705, 06097153801, 06097153704, 06097153706, 06097153703, 06097154304, 06097154302, 06097153600, 06097153300, 06097153403, 06097153501, 06097153404, 06097153002, 06097153003, 06097151100, 06097153502, 06097153401",,
32,Kincade Fire,19376,10/23/19 21:27,10/27/19 12:45,,Sonoma,77758,https://socoemergency.org/recover/2019-kincade-fire/kincade-fire-evacuation-orders/,Mandatory,"Zones: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10",,"06097154100, 06097153807, 06097153901, 06097153903, 06097153804, 06097153806, 06097153809, 06097153808,  06097154000, 06097153705, 06097153801, 06097153704, 06097153706, 06097153703, 06097154304, 06097154302, 06097153600, 06097153300, 06097153403, 06097153501, 06097153404, 06097153002, 06097153003, 06097151100, 06097153502, 06097153401",,
33,Kincade Fire,19376,10/23/19 21:27,10/27/19 12:45,,Sonoma,77758,https://socoemergency.org/recover/2019-kincade-fire/kincade-fire-evacuation-orders/,Warning,Zone: 21,,"06055202000, 06055201900",,NOT SONOMA COUNTY
34,Kincade Fire,19376,10/23/19 21:27,10/28/19 14:00,,Sonoma,77758,https://socoemergency.org/recover/2019-kincade-fire/kincade-fire-evacuation-orders/,Mandatory,"Zones: 1, 2, 3, 4, 5, 6, 8A, 9, 10",,"06097154100, 06097153807, 06097153901, 06097153903, 06097153804, 06097153806, 06097153809, 06097153808, 06097153801,  06097153300, 06097153002, 06097153003",,
35,Kincade Fire,19376,10/23/19 21:27,10/28/19 14:00,,Sonoma,77758,https://socoemergency.org/recover/2019-kincade-fire/kincade-fire-evacuation-orders/,Warning,"Zones: 7, 8B, 21",,"06097151100, 06097153501, 06097153502, 06097154302, 06097153403, 06097153404, 06097153401, 06097153600, 06097154304, 06097153703, 06097153706, 06097153705, 06097154000, 6097153704, 06097154000, ",,
36,Kincade Fire,19376,10/23/19 21:27,10/28/19 18:00,,Sonoma,77758,https://socoemergency.org/recover/2019-kincade-fire/kincade-fire-evacuation-orders/,Mandatory,"Zones: 1, 2, 3, 4, 5, 6, 8A, 9, 10",,"06097154100, 06097153807, 06097153901, 06097153903, 06097153804, 06097153806, 06097153809, 06097153808, 06097153801,  06097153300, 06097153002, 06097153003",,
37,Kincade Fire,19376,10/23/19 21:27,10/28/19 18:00,,Sonoma,77758,https://socoemergency.org/recover/2019-kincade-fire/kincade-fire-evacuation-orders/,Warning,"Zones: 7, 8B, 21, 31",,"06097151100, 06097153501, 06097153502, 06097154302, 06097153403, 06097153404, 06097153401, 06097153600, 06097154304, 06097153703, 06097153706, 06097153705, 06097154000, 6097153704,",,
38,Kincade Fire,19376,10/23/19 21:27,10/29/19 14:00,,Sonoma,77758,https://socoemergency.org/recover/2019-kincade-fire/kincade-fire-evacuation-orders/,Mandatory,"Zones: 1, 2, 3, 4B, 5, 6, 8A, 9, 10",,"06097154100, 06097153807, 06097153901, 06097153903, 06097153804, 06097153806, 06097153809, 06097153808, 06097153801,  06097153300, 06097153002, 06097153003",,
39,Kincade Fire,19376,10/23/19 21:27,10/29/19 14:00,,Sonoma,77758,https://socoemergency.org/recover/2019-kincade-fire/kincade-fire-evacuation-orders/,Warning,"Zones: 4A, 7, 8B, 21, 31, 32, 33, 34",,"06097151100, 06097153501, 06097153502, 06097154302, 06097153403, 06097153404, 06097153401, 06097153600, 06097154304, 06097153703, 06097153706, 06097153705, 06097154000, 6097153704, 06097154100",,
40,Kincade Fire,19376,10/23/19 21:27,10/30/19 13:00,,Sonoma,77758,https://socoemergency.org/recover/2019-kincade-fire/kincade-fire-evacuation-orders/,Mandatory,"Zones: 1B, 2, 3C, 5B",,"06097154100, 06097153807, 06097153901, 06097152600, 06097152701",,
41,Kincade Fire,19376,10/23/19 21:27,10/30/19 13:00,,Sonoma,77758,https://socoemergency.org/recover/2019-kincade-fire/kincade-fire-evacuation-orders/,Warning,"Zones: 1A, 3A, 3B, 5A, 6 (original revised to remove City of Santa Rosa), 21, 31, 32, 33, 34",,"06097154100, 06097153901, 06097153903, 06097153902, 06097153801, 06097153808, 06097153804, 06097153806, 06097153809, 06097152702, 06097152400, 06097152600",,
42,Kincade Fire,19376,10/23/19 21:27,10/31/19 14:00,,Sonoma,77758,https://socoemergency.org/recover/2019-kincade-fire/kincade-fire-evacuation-orders/,Mandatory,"Zones: 1B, 2, 3C, 5B",,"06097154100, 06097153807, 06097153901, 06097152600, 06097152701",,
43,Kincade Fire,19376,10/23/19 21:27,10/31/19 14:00,,Sonoma,77758,https://socoemergency.org/recover/2019-kincade-fire/kincade-fire-evacuation-orders/,Warning,"Zones: 1A, 3A, 3B, 5A, 6 (original revised to remove City of Santa Rosa)",,"06097154100, 06097153901, 06097153903, 06097153902, 06097153801, 06097153808, 06097153804, 06097153806, 06097153809, 06097152702, 06097152400, 06097152600",,
44,Kincade Fire,19376,10/23/19 21:27,11/1/19 13:00,,Sonoma,77758,https://socoemergency.org/recover/2019-kincade-fire/kincade-fire-evacuation-orders/,Mandatory,"Zones: 1B (original reduced to remove a portion of Dry Creek Rancheria), 2, 3C, 5B",,"06097154100, 06097153807, 06097153901, 06097152600, 06097152701",,
45,Kincade Fire,19376,10/23/19 21:27,11/1/19 15:00,,Sonoma,77758,https://socoemergency.org/recover/2019-kincade-fire/kincade-fire-evacuation-orders/,Mandatory,"Zones: 1C, 2, 3C, 5B",,"06097154100, 06097153807, 06097153901, 06097152600, 06097152701",,
46,Kincade Fire,19376,10/23/19 21:27,11/1/19 15:00,,Sonoma,77758,https://socoemergency.org/recover/2019-kincade-fire/kincade-fire-evacuation-orders/,Warning,Zone: 1B (original reduced to remove a portion of Dry Creek Rancheria; further reduced to remove new Zone 1C),,"06097154100, ",,
47,Kincade Fire,19376,10/23/19 21:27,11/2/19 15:00,,Sonoma,77758,https://socoemergency.org/recover/2019-kincade-fire/kincade-fire-evacuation-orders/,Mandatory,"Zones: 1C (original reduced to remove new Zone 1D), 2, 3C (original reduced to remove new Zone 3D), 5B (original reduced to remove new Zone 5C)",,"06097154100, 06097153807, 06097152701, 06097153901",,
48,Kincade Fire,19376,10/23/19 21:27,11/2/19 15:00,,Sonoma,77758,https://socoemergency.org/recover/2019-kincade-fire/kincade-fire-evacuation-orders/,Warning,"Zones: 1D, 3D",,"06097153901, 06097154100, ",,
49,Kincade Fire,19376,10/23/19 21:27,11/3/19 15:00,,Sonoma,77758,https://socoemergency.org/recover/2019-kincade-fire/kincade-fire-evacuation-orders/,Warning,"Zones: 1C (original reduced to remove new Zone 1D), 2, 3C (original reduced to remove new Zone 3D), 5B (original reduced to remove new Zone 5C)",,"06097154100, 06097153807, 06097152701, 06097153901",,
,Pallet Fire,Not Found ,6/5/18 13:03,X,,Sonoma,10,No Evacuations,,,,,,
50,Nuns (LNU Complex),10049,10/8/17 22:00,10/12/17 4:45,,"Napa, Sonoma",56556,https://twitter.com/SantaRosaPolice/status/919206552673718273,Mandatory ,All areas & roads north and south off of HWY 12 between Adobe Canyon Rd & Calistoga Rd,,"06097152600,",,
51,Nuns (LNU Complex),10049,10/8/17 22:00,10/14/17 4:45,,"Napa, Sonoma",56556,https://twitter.com/CAL_FIRE/status/919174550138400768,Mandatory ,7th street East from East Napa Street to Denmark Street; North Side of Denmark Street from 7th street east to Napa Road; 8th street east north of Denmark Road; E MacArthur Street East of 7th street east; Quail Run Way and Hamblin Road ,,"06097150202, 06097150100,06097150204 ",,
52,Nuns (LNU Complex),10049,10/8/17 22:00,10/14/17 4:48,,"Napa, Sonoma",56556,https://www.nixle.us/9mwdp,Mandatory ,"for east of Calistoga Road to the City of Santa Rosa limits, and north of Melita Road to the City of Santa Rosa limits. This includes all of Skyhawk, Oakmont, and much of Rincon Valley.",,"06097152502, 06097152501, 06097152600, 06097151602, 06097151601",,
53,Tubbs Fire (Central LNU Complex),10104,10/8/17 21:45,10/9/17 15:06,,"Napa, Sonoma",36807,https://twitter.com/SantaRosaFire/status/917511490617438208,Mandatory ,Only Map is given ,,"06097151602, 06097151601, 06097152904, 06097152905, 06097152903, 06097152802, 06097152801, 06097152702, 06097152701, 06097152600, 06097152400, 06097152100, 06097152201, 06097152203, 06097152300, 06097151800, 06097151700, 06097152202, 06097152502",,
54,Tubbs Fire (Central LNU Complex),10104,10/8/17 21:45,10/9/17,,"Napa, Sonoma",36807,https://www.facebook.com/SantaRosaPoliceDepartment/posts/1310548512401009,Mandatory ,Wild Oak Community ,,"06097151602, 06097151601",,
55,Tubbs Fire (Central LNU Complex),10104,10/8/17 21:45,10/9/17 10:46,,"Napa, Sonoma",36807,https://twitter.com/CityofSantaRosa/status/917446228698451968,Mandatory ,Oakmont - all of Oakmont East of Melita Rd,,"06097151602, 06097151601",,
56,Tubbs Fire (Central LNU Complex),10104,10/8/17 21:45,10/13/17,,"Napa, Sonoma",36807,http://www.nixle.us/9MTK7,Mandatory ,north of Hwy 128 from Geysers Rd to Chalk Hill Rd Map: https://twitter.com/Aspire_more/status/918981779934998533/photo/1,,"06097154100, 06097153901, ",,
57,Tubbs Fire (Central LNU Complex),10104,10/8/17 21:45,10/10/17 16:24,,"Napa, Sonoma",36807,http://nixle.us/9MMDK,Mandatory ," the area east of the Bennett Valley Golf Course, west of Annadel Park.",,"06097151502, 06097151503, 06097151602",,
58,Tubbs Fire (Central LNU Complex),10104,10/8/17 21:45,10/10/17 15:52,,"Napa, Sonoma",36807,http://www.nixle.us/9MMBP,Mandatory ,Sonoma Mountain Road; Bennett Ridge Road; Enterprise Road,,"06097150500, 06097151503, ",,
59,Tubbs Fire (Central LNU Complex),10104,10/8/17 21:45,10/11/17 18:27,,"Napa, Sonoma",36807,https://twitter.com/sonomafireinfo/status/918286911155748864,Voluntary,"for the town of Sonoma near Napa St, Petaluma Ave, and Arnold St",,"06097150204, 06097150202, 06097150203, 06097150303",,
60,Tubbs Fire (Central LNU Complex),10104,10/8/17 21:45,10/10/17 16:43,,"Napa, Sonoma",36807,https://www.nixle.us/9mmf3,Mandatory ,Pacific Heights neighborhood behind Molsbery's Market in Larkfield just ordered evacuated.,,"06097152702, ",Specific Location Not Found Online,
61,Tubbs Fire (Central LNU Complex),10104,10/8/17 21:45,10/10/17 16:46,,"Napa, Sonoma",36807,https://www.nixle.us/9mmf9,Mandatory ,Ida Clayton Rd from Hwy 128 to the county line,,"06097154100,",,
62,Pocket Fire (Central LNU Complex),10104,10/9/17 3:30,10/10/17 22:37,,Sonoma,17357,https://twitter.com/artdance/status/917989899080519680/photo/1,Mandatory ,Twitter Post has Nixle Post with locations ,,"06097154100,",,
63,Pocket Fire (Central LNU Complex),10104,10/9/17 3:30,10/10/17 22:37,,Sonoma,17357,https://twitter.com/artdance/status/917989899080519680/photo/1,Advisory ,"Downtown Geyserville, Palomino Road, Asti Ridge Road, Highland Ranch Road",,"06097154100,",,
,37 Fire,Not Found ,10/9/17 14:00,X,,Sonoma,1660,No Evacuations,,,,,,
64,Oakmont Fire (Central LNU Complex),Not Found ,10/14/17 20:35,10/14/17 4:52,,Sonoma,100,https://twitter.com/SantaRosaPolice/status/919168925673324544,Mandatory ,"East of Calistoga Road to city limits and North of Melita Road to city limits. Skyhawk, Oakmont, Rincon Valley.",,Turned out to be a Repeat ,,
,Fort Fire,Not Found ,10/7/17 20:00,X,,Sonoma,20,No Evacuations,,,,,,
,Bodega Fire,Not Found ,8/27/17 13:30,X,,Sonoma,18,No evacuations,,,,,,
,Independence Fire,Not Found ,7/31/17 23:17,X,,Sonoma,11,No evacuations,,,,,,
65,Sawmill Fire,9129,9/25/16 10:43,9/25/16,,Sonoma,1547,https://www.lakeconews.com/news/47974-sawmill-fire-in-sonoma-county-reaches-1500-acres-mandatory-evacuations-in-place,Mandatory,Geysers Road on the Cloverdale side from Pine Mountain Road to Geysers Resort Road,,"06097154100,",,
66,Sawmill Fire,9129,9/25/16 10:43,9/25/16,,Sonoma,1547,https://www.lakeconews.com/news/47974-sawmill-fire-in-sonoma-county-reaches-1500-acres-mandatory-evacuations-in-place,Warning,"for the area of Geysers Road on the Geyserville side from Geysers Resort Road to Anderson Ranch Road, Ridge Oaks Road, Monkey Rock Road and Pocket Ranch Road.",,"06097154100,",,
,Crane Fire,Not Found ,10/4/13 12:25,X,,Sonoma,159,No evacuations,,,,,,
,Lakeville Fire,Not Found ,7/26/13 13:45,X,,Sonoma,158,No evacuations,,,,,,
,Yellow Fire,Not Found ,5/1/13 2:01,X,,Sonoma,125,No evacuations,,,,,,
