censusinfo,,,,,,,,,,,,,,,
Fresno_Census_Tracts,,,,,,,,,,,,,,,
GEOID,NAME,evacuation1,evacuation2,evacuation3,evacuation4,evacuation5,evacuation6,evacuation7,evacuation8,evacuation9,evacuation10,evacuation11,evacuation12,evacuation13,evacuation14
6019006402,"Census Tract 64.02, Fresno County, California",5,6,7,8,10,11,12,13,14,15,16,17,,
6019006403,"Census Tract 64.03, Fresno County, California",42,43,,,,,,,,,,,,
6019006404,"Census Tract 64.04, Fresno County, California",1,3,4,5,6,7,8,9,11,13,14,16,40,41
6019006405,"Census Tract 64.05, Fresno County, California",1,2,5,6,,,,,,,,,,
6019006501,"Census Tract 65.01, Fresno County, California",,,,,,,,,,,,,,
6019006502,"Census Tract 65.02, Fresno County, California",,,,,,,,,,,,,,
6019006602,"Census Tract 66.02, Fresno County, California",,,,,,,,,,,,,,
6019006603,"Census Tract 66.03, Fresno County, California",,,,,,,,,,,,,,
6019006604,"Census Tract 66.04, Fresno County, California",,,,,,,,,,,,,,
6019006700,"Census Tract 67, Fresno County, California",,,,,,,,,,,,,,
6019006802,"Census Tract 68.02, Fresno County, California",,,,,,,,,,,,,,
6019006900,"Census Tract 69, Fresno County, California",,,,,,,,,,,,,,
6019007002,"Census Tract 70.02, Fresno County, California",,,,,,,,,,,,,,
6019007003,"Census Tract 70.03, Fresno County, California",,,,,,,,,,,,,,
6019007004,"Census Tract 70.04, Fresno County, California",,,,,,,,,,,,,,
6019007100,"Census Tract 71, Fresno County, California",,,,,,,,,,,,,,
6019007201,"Census Tract 72.01, Fresno County, California",,,,,,,,,,,,,,
6019007202,"Census Tract 72.02, Fresno County, California",,,,,,,,,,,,,,
6019007300,"Census Tract 73, Fresno County, California",,,,,,,,,,,,,,
6019007400,"Census Tract 74, Fresno County, California",,,,,,,,,,,,,,
6019007500,"Census Tract 75, Fresno County, California",,,,,,,,,,,,,,
6019007600,"Census Tract 76, Fresno County, California",,,,,,,,,,,,,,
6019007700,"Census Tract 77, Fresno County, California",,,,,,,,,,,,,,
6019007801,"Census Tract 78.01, Fresno County, California",,,,,,,,,,,,,,
6019007802,"Census Tract 78.02, Fresno County, California",,,,,,,,,,,,,,
6019007901,"Census Tract 79.01, Fresno County, California",,,,,,,,,,,,,,
6019007902,"Census Tract 79.02, Fresno County, California",33,34,35,36,37,38,39,,,,,,,
6019008000,"Census Tract 80, Fresno County, California",,,,,,,,,,,,,,
6019008100,"Census Tract 81, Fresno County, California",,,,,,,,,,,,,,
6019008200,"Census Tract 82, Fresno County, California",,,,,,,,,,,,,,
6019008301,"Census Tract 83.01, Fresno County, California",,,,,,,,,,,,,,
6019008302,"Census Tract 83.02, Fresno County, California",,,,,,,,,,,,,,
6019008401,"Census Tract 84.01, Fresno County, California",,,,,,,,,,,,,,
6019008402,"Census Tract 84.02, Fresno County, California",,,,,,,,,,,,,,
6019008501,"Census Tract 85.01, Fresno County, California",,,,,,,,,,,,,,
6019008502,"Census Tract 85.02, Fresno County, California",,,,,,,,,,,,,,
6019006406,"Census Tract 64.06, Fresno County, California. Showed up on Google Earth, not on only census tract map, not shown in the database the get_acs created.",3,5,,,,,,,,,,,,
6019006407,"Census Tract 64.07, Fresno County, California. Showed up on Google Earth, not on only census tract map, not shown in the database the get_acs created.",4,7,8,,,,,,,,,,,
6019006408,"Census Tract 64.08, Fresno County, California. Showed up on Google Earth, not on only census tract map, not shown in the database the get_acs created.",8,,,,,,,,,,,,,
6019006409,"Census Tract 64.09, Fresno County, California. Showed up on Google Earth, not on only census tract map, not shown in the database the get_acs created.",6,9,,,,,,,,,,,,
